0.0000e+00	3.0000e+00
1.0101e-01	3.1816e+00
2.0202e-01	3.3226e+00
3.0303e-01	3.4232e+00
4.0404e-01	3.4842e+00
5.0505e-01	3.5065e+00
6.0606e-01	3.4910e+00
7.0707e-01	3.4392e+00
8.0808e-01	3.3528e+00
9.0909e-01	3.2336e+00
1.0101e+00	3.0837e+00
1.1111e+00	2.9055e+00
1.2121e+00	2.7016e+00
1.3131e+00	2.4750e+00
1.4141e+00	2.2286e+00
1.5152e+00	1.9660e+00
1.6162e+00	1.6906e+00
1.7172e+00	1.4065e+00
1.8182e+00	1.1176e+00
1.9192e+00	8.2846e-01
2.0202e+00	5.4360e-01
2.1212e+00	2.6793e-01
2.2222e+00	6.5539e-03
2.3232e+00	-2.3515e-01
2.4242e+00	-4.5156e-01
2.5253e+00	-6.3681e-01
2.6263e+00	-7.8477e-01
2.7273e+00	-8.8908e-01
2.8283e+00	-9.4311e-01
2.9293e+00	-9.3999e-01
3.0303e+00	-8.7260e-01
3.1313e+00	-7.3358e-01
3.2323e+00	-5.1529e-01
3.3333e+00	-2.0988e-01
3.4343e+00	1.9079e-01
3.5354e+00	6.9507e-01
3.6364e+00	1.3116e+00
3.7374e+00	2.0492e+00
3.8384e+00	2.9171e+00
3.9394e+00	3.9245e+00
4.0404e+00	5.0812e+00
4.1414e+00	6.3970e+00
4.2424e+00	7.8819e+00
4.3434e+00	9.5464e+00
4.4444e+00	1.1401e+01
4.5455e+00	1.3457e+01
4.6465e+00	1.5725e+01
4.7475e+00	1.8216e+01
4.8485e+00	2.0943e+01
4.9495e+00	2.3917e+01
5.0505e+00	2.7150e+01
5.1515e+00	3.0654e+01
5.2525e+00	3.4442e+01
5.3535e+00	3.8528e+01
5.4545e+00	4.2924e+01
5.5556e+00	4.7643e+01
5.6566e+00	5.2699e+01
5.7576e+00	5.8106e+01
5.8586e+00	6.3878e+01
5.9596e+00	7.0030e+01
6.0606e+00	7.6576e+01
6.1616e+00	8.3530e+01
6.2626e+00	9.0909e+01
6.3636e+00	9.8727e+01
6.4646e+00	1.0700e+02
6.5657e+00	1.1574e+02
6.6667e+00	1.2498e+02
6.7677e+00	1.3471e+02
6.8687e+00	1.4496e+02
6.9697e+00	1.5576e+02
7.0707e+00	1.6710e+02
7.1717e+00	1.7902e+02
7.2727e+00	1.9152e+02
7.3737e+00	2.0463e+02
7.4747e+00	2.1837e+02
7.5758e+00	2.3275e+02
7.6768e+00	2.4780e+02
7.7778e+00	2.6352e+02
7.8788e+00	2.7994e+02
7.9798e+00	2.9708e+02
8.0808e+00	3.1496e+02
8.1818e+00	3.3360e+02
8.2828e+00	3.5302e+02
8.3838e+00	3.7324e+02
8.4848e+00	3.9428e+02
8.5859e+00	4.1616e+02
8.6869e+00	4.3890e+02
8.7879e+00	4.6252e+02
8.8889e+00	4.8705e+02
8.9899e+00	5.1250e+02
9.0909e+00	5.3891e+02
9.1919e+00	5.6628e+02
9.2929e+00	5.9465e+02
9.3939e+00	6.2403e+02
9.4949e+00	6.5446e+02
9.5960e+00	6.8594e+02
9.6970e+00	7.1852e+02
9.7980e+00	7.5220e+02
9.8990e+00	7.8702e+02
1.0000e+01	8.2300e+02
